Spell_ID,Spell_Name,Level,School,Ritual,Casting Time,Range,Verbal,Somatic,Focus,Duration,Concentration,Bard,Cleric,Druid,Paladin,Ranger,Sorcerer,Warlock,Wizard
184,Longstrider,1,Transmutation,0,Action,Touch,1,1,1,1 hour,0,1,0,1,0,1,0,0,1
185,Mage Armor,1,Abjuration,0,Action,Touch,1,1,1,8 hours,0,0,0,0,0,0,1,0,1
186,Mage Hand,0,Conjuration,0,Action,30 feet,1,1,0,1 minute,0,1,0,0,0,0,1,1,1
189,Magic Missile,1,Evocation,0,Action,120 feet,1,1,0,Instantaneous,0,0,0,0,0,0,1,0,1
200,Mending,0,Transmutation,0,1 Minute,Touch,1,1,1,Instantaneous,0,0,1,1,0,0,1,0,1
201,Message,0,Transmutation,0,Action,120 feet,1,1,1,1 round,0,0,0,0,0,0,1,0,1
204,Minor Illusion,0,Illusion,0,Action,30 feet,0,1,1,1 minute,0,1,0,0,0,0,1,1,1
221,Poison Spray,0,Conjuration,0,Action,10 feet,1,1,0,Instantaneous,0,0,0,1,0,0,1,1,1
226,Prestidigitation,0,Transmutation,0,Action,10 feet,1,1,0,1 hour,0,1,0,0,0,0,1,1,1
230,Produce Flame,0,Conjuration,0,Action,Self,1,1,0,10 minutes,0,0,0,1,0,0,0,0,0
234,Protection from Evil and Good,1,Abjuration,0,Action,Touch,1,1,1,10 minutes,1,0,1,0,1,0,0,1,1
236,Purify Food and Drink,1,Transmutation,1,Action,10 feet,1,1,0,Instantaneous,0,0,1,1,1,0,0,0,0
239,Ray of Frost,0,Evocation,0,Action,60 feet,1,1,0,Instantaneous,0,0,0,1,0,0,1,0,1
244,Resistance,0,Abjuration,0,Action,Touch,1,1,1,1 minute,1,0,1,0,0,0,0,0,0
249,Sacred Flame,0,Evocation,0,Action,60 feet,1,1,0,Instantaneous,0,0,1,0,0,0,0,0,0
250,Sanctuary,1,Abjuration,0,Bonus Action,30 feet,1,1,1,1 minute,0,0,1,0,0,0,0,0,0
260,Shield,1,Abjuration,0,Reaction,Self,1,1,0,1 round,0,0,0,0,0,0,1,0,1
261,Shield of Faith,1,Abjuration,0,Bonus Action,60 feet,1,1,1,10 minutes,1,0,1,0,1,0,0,0,0
262,Shillelagh,0,Transmutation,0,Bonus Action,Touch,1,1,1,1 minute,0,0,0,1,0,0,0,0,0
263,Shocking Grasp,0,Evocation,0,Action,Touch,1,1,0,Instantaneous,0,0,0,0,0,0,1,0,1
265,Silent Image,1,Illusion,0,Action,60 feet,1,1,1,10 minutes,1,1,0,0,0,0,1,0,1
267,Sleep,1,Enchantment,0,Action,90 feet,1,1,1,1 minute,0,1,0,0,0,0,1,0,1
270,Spare the Dying,0,Necromancy,0,Action,Touch,1,1,0,Instantaneous,0,0,1,0,0,0,0,0,0
271,Speak with Animals,1,Divination,1,Action,Self,1,1,0,10 minutes,0,1,0,1,0,1,0,0,0
290,Thaumaturgy,0,Transmutation,0,Action,30 feet,1,0,0,1 minute,0,0,1,0,0,0,0,0,0
291,Thunderwave,1,Evocation,0,Action,Self (15-foot cube),1,1,0,Instantaneous,0,1,0,1,0,0,1,0,1
300,True Strike,0,Divination,0,Action,30 feet,0,1,0,1 round,1,1,0,0,0,0,1,1,1
301,Unseen Servant,1,Conjuration,1,Action,60 feet,1,1,1,1 hour,0,1,0,0,0,0,0,1,1
303,Vicious Mockery,0,Enchantment,0,Action,60 feet,1,0,0,Instantaneous,0,1,0,0,0,0,0,0,0
